FullName;Price;Name;ProductionDate;Klm;CubicCapacity;Horsepower;GasType;GearBox;Age
Citroen C3 '18 BlueHDi 100 S&S Corporate 1.5;9400.0;Citroen;2018-11-01;166200.0;1499.0;100.0;Πετρέλαιο;Manual;6
Mercedes-Benz A 45 AMG '19 Full Body 45s Μοναδικό...;46500.0;Mercedes-Benz;2019-04-01;55000.0;1400.0;220.0;Βενζίνη;Αυτόματο;5
Toyota RAV 4 '17  2.0 D-4D;21990.0;Toyota;2017-10-01;119000.0;1998.0;143.0;Πετρέλαιο;Manual;7
Mitsubishi Lancer '04 EVO 8;38490.0;Mitsubishi;2004-05-01;52000.0;2000.0;720.0;Βενζίνη;Manual;20
Jaguar F-Pace '19 2.0L DIESEL;55000.0;Jaguar;2019-06-01;39700.0;1999.0;180.0;Πετρέλαιο;Αυτόματο;5
Mercedes-Benz A 45 AMG '22 S 4M+NIGHT+PERFORMANCE SITZE+PANO+;95000.0;Mercedes-Benz;2022-08-01;11670.0;2000.0;421.0;Βενζίνη;Αυτόματο;2
Hyundai Atos '06;5300.0;Hyundai;2006-07-01;174280.0;1100.0;70.0;Βενζίνη;Manual;18
Land Rover Defender '20 DEFENDER 110 2.0 D240 S;110000.0;Land-Rover;2020-12-01;18000.0;1999.0;239.0;Πετρέλαιο;Αυτόματο;4
Bmw X5 '16 XDrive25d ΠΑΝΟΡΑΜΑ*ΕΛΛΗΝΙΚΟ;39500.0;Bmw;2016-01-01;160000.0;2000.0;231.0;Πετρέλαιο;Αυτόματο;8
Mercedes-Benz A 160 '18 1ΧΕΡΙ*ΕΛΛΗΝΙΚΟ*ΑΤΡΑΚΑΡΙΣΤΟ;17900.0;Mercedes-Benz;2018-03-01;86000.0;1500.0;90.0;Πετρέλαιο;Manual;6
Kia Ceed '13;9500.0;Kia;2013-03-01;190000.0;1400.0;90.0;Πετρέλαιο;Manual;11
Skoda Octavia '20  Combi 1.6*115PS*NAVI;14150.0;Skoda;2020-06-01;222404.0;1600.0;115.0;Βενζίνη;Αυτόματο;4
Skoda Octavia '20  Combi 1.6 TDI;13950.0;Skoda;2020-01-01;223103.0;1600.0;115.0;Πετρέλαιο;Manual;4
Opel Corsa '16  1.3 CDTI 95PS*EURO6*NAVI;8990.0;Opel;2016-03-01;86334.0;1248.0;95.0;Πετρέλαιο;Manual;8
Volkswagen Golf '09 TSI 1.4;7000.0;Volkswagen;2009-01-01;240000.0;1400.0;122.0;Βενζίνη;Manual;15
Bmw 316 '14   Sport Line Steptronic 8 ταχυτητες;19400.0;Bmw;2014-12-01;146000.0;2000.0;186.0;Πετρέλαιο;Αυτόματο;10
Opel Meriva '09  1.3 CDTI ecoFlex Ελληνικής αντιπροσωπείας;4900.0;Opel;2009-09-01;152000.0;1300.0;90.0;Πετρέλαιο;Manual;15
Volkswagen Eos '08  1.4 TSI Edition 2008 Ελληνικής Αντιπροσωπείας;5800.0;Volkswagen;2008-11-01;86000.0;1400.0;122.0;Βενζίνη;Manual;16
Daihatsu Rocky/Fourtrak '82 F50;5300.0;Daihatsu;1982-01-01;98000.0;2500.0;80.0;Πετρέλαιο;Manual;42
